ArraySize,S,Average Comparisons,Performance (ns)
100000,37,1878296,47388300
100000,38,1877956,46653400
100000,39,1877353,46355000
100000,40,1875921,34329100
100000,41,1876757,33205100
100000,42,1879388,40298500
100000,43,1877500,46788400
100000,44,1876974,49639600
100000,45,1878235,60427400
100000,46,1878112,47008400
100000,47,1963210,30363000
100000,48,2389822,37721200
100000,49,2391886,47620200
100000,50,2388459,48944500
100000,51,2387729,49616700
100000,52,2396681,45394500
100000,53,2393779,50391500
100000,54,2391813,54354400
100000,55,2392188,51650300
100000,56,2396214,56063800
100000,57,2391080,51258000
100000,58,2392535,55823800
100000,59,2394810,48746200
100000,60,2390032,53218000
100000,61,2390315,45578800
100000,62,2394689,50138700
100000,63,2389827,50262000
100000,64,2386827,48970900
100000,65,2393673,49269300
100000,66,2389656,49008400
100000,67,2393649,48809600
100000,68,2391290,46543900
100000,69,2394173,46787500
100000,70,2390742,50044500
100000,71,2392691,47631100
100000,72,2390673,46091000
100000,73,2390079,48507400
100000,74,2389782,49960100
100000,75,2387632,46695100
100000,76,2391982,48852000
100000,77,2393686,59061000
100000,78,2392136,49850700
100000,79,2392264,43620900
100000,80,2388771,44956400
100000,81,2392158,43685600
100000,82,2390828,46488900
100000,83,2392100,45238000
100000,84,2389048,44596600
100000,85,2397376,45256600
100000,86,2392409,41682800
100000,87,2389358,46585300
100000,88,2395050,47161200
100000,89,2391491,45796800
100000,90,2395876,45250100
100000,91,2396467,48596300
100000,92,2393369,50383000
100000,93,2392000,45314200
100000,94,2393673,44024300
100000,95,2392725,42676100
100000,96,2766980,48613200
100000,97,3512570,52186900
100000,98,3510171,44369000
100000,99,3521611,47471500
100000,100,3518720,47111500
1000000,1,19389164,864003600
1000000,2,19404622,885357900
1000000,3,19261659,681564400
1000000,4,19262321,644207400
1000000,5,19260866,641157200
1000000,6,19289657,601368100
1000000,7,19422443,563459900
1000000,8,19422275,636570800
1000000,9,19422316,549437600
1000000,10,19426008,507894200
1000000,11,19422314,297906500
1000000,12,19423122,330327200
1000000,13,19423275,287023900
1000000,14,20138091,274712000
1000000,15,20444056,269671700
1000000,16,20445473,280673600
1000000,17,20444886,268353600
1000000,18,20444149,287700900
1000000,19,20438483,257820700
1000000,20,20442524,277731300
1000000,21,20446119,277368500
1000000,22,20443665,245513900
1000000,23,20443506,271802500
1000000,24,20443398,266724600
1000000,25,20442858,265465800
1000000,26,20440834,214090300
1000000,27,20443434,199937200
1000000,28,20446972,202176800
1000000,29,21781586,226783800
1000000,30,23315186,201035200
1000000,31,23320223,204857900
1000000,32,23314315,218438000
1000000,33,23327958,194082300
1000000,34,23321169,196950600
1000000,35,23325433,196538600
1000000,36,23324804,193228500
1000000,37,23311949,210138500
1000000,38,23317065,214481600
1000000,39,23323350,195288400
1000000,40,23317638,190414700
1000000,41,23327578,185619200
1000000,42,23313939,195895700
1000000,43,23318767,198473500
1000000,44,23308410,210606000
1000000,45,23313087,202349100
1000000,46,23319062,229051900
1000000,47,23315744,215268900
1000000,48,23318971,210163500
1000000,49,23316631,187462100
1000000,50,23312352,190468300
1000000,51,23308785,211137100
1000000,52,23313474,213378200
1000000,53,23324740,228061300
1000000,54,23322657,208878300
1000000,55,23307107,180678500
1000000,56,23321143,187158900
1000000,57,23320922,189114400
1000000,58,23324068,189487700
1000000,59,23316271,232934700
1000000,60,29735765,202052200
1000000,61,29981176,203629800
1000000,62,29978263,221725300
1000000,63,29993180,202478500
1000000,64,29979912,192708200
1000000,65,29944786,193579200
1000000,66,29960989,203611400
1000000,67,29975819,256796200
1000000,68,29975461,247913300
1000000,69,29953373,239728900
1000000,70,29979714,212742900
1000000,71,29967005,194190400
1000000,72,29976537,197338100
